date,title,source,link
"Sat, 13 May 2023 11:00:00 GMT","Twitter's New CEO, Linda Yaccarino, Has a Fearsome To-Do List",WIRED,
"Sat, 13 May 2023 13:00:49 GMT",Investors predict 'imminent' US high-yield bond sell off,Financial Times,
"Sat, 13 May 2023 12:56:34 GMT",Stock Traders Are Nonchalant About US Being on Cusp of Default,Bloomberg,
"Sat, 13 May 2023 15:28:00 GMT",U.S. Regulators Urge Supplier to Recall 67 Million Air-Bag Inflators for Potential Explosions,The Wall Street Journal,
"Sat, 13 May 2023 14:05:00 GMT","The New Zelda: Tears Of The Kingdom amiibo Is Now Available, Did You Get It?",Nintendo Life,
"Sat, 13 May 2023 15:30:00 GMT",Pixel 6a vs. Pixel 7a: Big moves in budget circles [Video],9to5Google,
"Sat, 13 May 2023 15:20:41 GMT",Zelda: Tears Of The Kingdom,Guides Hub - GameSpot,
"Sat, 13 May 2023 12:40:23 GMT","Amazon just dropped the mother lode of Mother's Day deals, including a Lenovo laptop for nearly 60% off",Yahoo Life,
"Sat, 13 May 2023 10:29:08 GMT","Jamie Foxx out of hospital for weeks and playing pickleball, daughter claims",FOX 5 Atlanta,
"Sat, 13 May 2023 16:56:00 GMT",Kelly Clarkson Addresses Report Alleging Toxic Work Culture on Her Talk Show: ‘Committed to Maintaining a Safe and Healthy Environment’,Variety,
"Sat, 13 May 2023 18:00:00 GMT",Eurovision 2023 Live Updates: What to Expect at the Grand Final,The New York Times,
"Sat, 13 May 2023 15:32:42 GMT",Kendall Jenner and Bad Bunny Coordinate Their Looks For First Public Date,Harper's BAZAAR,
"Sat, 13 May 2023 16:16:42 GMT","Golden State Falls to Lakers, Ending Title Hopes and Starting Uncertain Future",The New York Times,
"Sat, 13 May 2023 07:56:00 GMT",Knicks' Quentin Grimes couldn't shut down Jimmy Butler in Game 6,New York Post ,
"Sat, 13 May 2023 15:14:00 GMT",LeBron James leads Lakers to Western Conference Finals as defending NBA Champions eliminated,Fox News,
"Sat, 13 May 2023 12:31:49 GMT",Tom E. Curran makes bold Patriots wins prediction after NFL schedule release,NBC Sports Boston,
"Sat, 13 May 2023 15:04:00 GMT",Updated human DNA map captures diversity of life,CNN,
"Sat, 13 May 2023 12:00:00 GMT","Mysterious, ultra low-frequency noises detected in Earth's atmosphere — and scientists can't explain them",Livescience.com,
"Fri, 12 May 2023 16:28:08 GMT","Saturn reclaims 'moon king' title with 62 newfound satellites, bringing total to 145",Space.com,
"Fri, 12 May 2023 22:27:47 GMT",Scientists: 4.5 billion-year-old meteorite hit New Jersey home,CBS New York,
"Sat, 13 May 2023 12:39:57 GMT",Exercise and the Brain: The Neuroscience of Fitness Explored,Neuroscience News,
"Sat, 13 May 2023 14:45:57 GMT",Could Low Vitamin D Influence Long-COVID Risk?,Neuroscience News,
"Sat, 13 May 2023 16:00:00 GMT",He was treated for blood clots but still felt fatigued and breathless,The Washington Post,
"Fri, 12 May 2023 14:35:00 GMT","Sleep Apnea Linked to Brain Damage, Study Finds",Gizmodo,
"Mon, 15 May 2023 14:34:00 GMT",Turkey to have momentous runoff election after Erdogan fails to win outright,CNN,
"Mon, 15 May 2023 16:45:56 GMT",Zelensky meets PM as more Ukraine weapons pledged,BBC,
"Mon, 15 May 2023 14:02:00 GMT",Russian mercenary chief offered to give up Russian troop positions to Ukraine: Report,Fox News,
"Mon, 15 May 2023 13:19:17 GMT","Biden optimistic about a debt limit deal, but McCarthy says White House isn't being serious",CNBC,
"Mon, 15 May 2023 16:14:24 GMT",What Chicago's New Mayor Says About the City's Biggest Challenges,The New York Times,
"Mon, 15 May 2023 11:51:01 GMT",Florida teacher under investigation over Walt Disney movie,WPLG Local 10,
"Mon, 15 May 2023 15:00:00 GMT","Mormon church has $100bn ‘clandestine hedge fund’, says whistleblower",The Guardian,
"Mon, 15 May 2023 07:00:15 GMT",Abortion Showdown in North Carolina May Hinge on a Single Vote,The New York Times,
"Mon, 15 May 2023 16:50:09 GMT","Florida Gov. Ron DeSantis mocks protesters, bans diversity funding",USA TODAY,
"Mon, 15 May 2023 12:26:00 GMT",New signs indicate Ron DeSantis intends to run for president,WESH 2 Orlando,
"Mon, 15 May 2023 14:03:45 GMT","World's oldest dog celebrates 31st birthday, according to Guinness World Records",The Associated Press,
"Mon, 15 May 2023 17:19:00 GMT",Ukraine hails gains in Bakhmut as Zelenskiy wins more arms in Europe,Reuters,
"Mon, 15 May 2023 13:50:53 GMT","John Shing-wan Leung, American citizen, sentenced to life in prison in China",CBS News,
"Mon, 15 May 2023 11:28:25 GMT",Germany pledges 'unwavering' support as Zelenskyy visits,DW (English),
"Mon, 15 May 2023 15:36:32 GMT",Vice Media files for Chapter 11 bankruptcy,Axios,
"Mon, 15 May 2023 17:07:00 GMT",Microsoft wins EU antitrust approval for Activision deal vetoed by UK,Reuters,
"Mon, 15 May 2023 15:37:09 GMT","Elon Musk still needs 'Twitter sitter,' judge rules",CNBC,
"Mon, 15 May 2023 14:06:14 GMT",Exploding airbag inflators strike again—1 million GM SUVs are recalled,Ars Technica,
"Mon, 15 May 2023 12:00:09 GMT",Artificial Intelligence Lets Microsoft Target Google and Google Target Amazon,Bloomberg,
"Mon, 15 May 2023 14:19:00 GMT",Pixel battery life is having issues with May 2023 update,9to5Google,
"Mon, 15 May 2023 11:00:00 GMT",The Case for a 15-Inch MacBook Air,CNET,
"Mon, 15 May 2023 09:11:00 GMT",Google Contacts' long-awaited birthday reminders are rolling out,Android Police,
"Mon, 15 May 2023 14:00:00 GMT",Succession election episode 20 best lines,Entertainment Weekly News,
"Mon, 15 May 2023 14:25:13 GMT",Martha Stewart Featured As 2023 SI Swimsuit Cover Model,Sports Illustrated,
"Mon, 15 May 2023 16:45:33 GMT",Reba McEntire joins The Voice! Country icon signs up as a judge for season 24,Daily Mail,
"Mon, 15 May 2023 14:03:00 GMT",Hailey Bieber reveals what she fears about having kids,CNN,
"Mon, 15 May 2023 15:17:00 GMT",Ja Morant suspended from team activities after second video circulates showing him flash a gun,CNN,
"Mon, 15 May 2023 15:04:52 GMT",Victor Wembanyama Wants to Take Over the NBA,The New York Times,
"Mon, 15 May 2023 15:15:00 GMT","Full 2023 NFL season win-loss record projections for all 32 teams: Bullish on Bengals, taking Packers Under",CBS Sports,
"Mon, 15 May 2023 13:46:22 GMT",Anthony Davis vs. Nikola Jokic in the Lakers-Nuggets Western Conference Finals | Get Up,ESPN,
"Mon, 15 May 2023 09:30:48 GMT","Webb finds water, and a new mystery, in rare main-belt comet",European Space Agency,
"Sun, 14 May 2023 13:30:01 GMT",Astronomers puzzled by 'largest' ever cosmic explosion,Phys.org,
"Mon, 15 May 2023 11:41:44 GMT","Saturn Wins 'Game Of Moons', Dethrones Jupiter As Planet With Most Satellites",NDTV,
"Mon, 15 May 2023 15:20:00 GMT",RIP Lunar Flashlight: NASA Mission Fails to Reach Orbit Around the Moon's South Pole,Gizmodo,
"Mon, 15 May 2023 15:00:07 GMT","Mutation Protected Man From Alzheimer's Disease, Hinting at Treatment",The New York Times,
"Mon, 15 May 2023 16:33:00 GMT","Don’t use sugar substitutes for weight loss, World Health Organization advises",CNN,
"Mon, 15 May 2023 13:00:14 GMT",New research may reveal why Lyme disease causes chronic symptoms for some,NBC News,
"Sun, 14 May 2023 02:46:00 GMT",New Hampshire pharmacists call this the worst allergy season they've seen in years,WMUR Manchester,
"Wed, 17 May 2023 01:11:49 GMT",North Carolina Lawmakers Uphold Abortion Ban Over Governor's Objections,The New York Times,
"Wed, 17 May 2023 00:40:00 GMT","Biden, McCarthy hopeful on debt ceiling deal, US president cuts Asia trip short",Reuters,
"Tue, 16 May 2023 20:29:00 GMT",Durham points to Clinton crony Charles Dolan as likely 'pee tape' source from notorious Steele Dossier report,New York Post ,
"Tue, 16 May 2023 19:42:09 GMT",Illinois girl whose disappearance was on Netflix's 'Unsolved Mysteries' is found alive in North Carolina,NBC News,
"Wed, 17 May 2023 01:41:42 GMT","New Mexico shooting that killed 3, injured 6 appears to be 'random,' police say",ABC News,
"Tue, 16 May 2023 22:35:47 GMT",U.S. attorney for Massachusetts to resign after DOJ probe,POLITICO,
"Tue, 16 May 2023 23:36:56 GMT",Appellate Court Rejects Elizabeth Holmes' Motion to Stay Out of Prison,NBC Bay Area,
"Wed, 17 May 2023 01:19:00 GMT",CNN projects Daniel Cameron will win Kentucky GOP governor primary and face Democrat Andy Beshear in the fall,CNN,
"Wed, 17 May 2023 00:00:00 GMT","Philadelphia election 2023: Results for mayor, City Council, primary live updates",The Philadelphia Inquirer,
"Wed, 17 May 2023 01:13:26 GMT",Dems beat DeSantis-endorsed candidate in Florida's biggest city,POLITICO,
"Wed, 17 May 2023 00:28:46 GMT",Ukraine says it downed Russian hypersonic missiles during 'exceptional' air attack on Kyiv,ABC News,
